YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Seattle Seahawks,16,4.0,22.0,5.5,8.0,0.0,1.0,25.0,0.0,0.0,0.0
2023,Seattle Seahawks,17,,,,,,,,,,
TOTAL,,33,4.0,22.0,5.5,8.0,0.0,1.0,25.0,0.0,0.0,0.0
