YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Los Angeles Rams,11,11,46,4.2,9,1,2,18.2,0,0,0
2023,Los Angeles Rams,17,12,89,7.4,31,0,5,41.7,1,0,0
TOTAL,,28,23,135,5.9,31,1,7,30.4,1,0,0
