YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Houston Texans,11,,,,,,,,,,
2023,Houston Texans,15,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Houston Texans,10,,,,,,,,,,
2021,Houston Texans,14,,,,,,,,,,
TOTAL,,50,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
