YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Dallas Cowboys,15,14,70,5.0,18,0,4,28.6,0,0,0
2023,Dallas Cowboys,17,14,113,8.1,24,2,6,42.9,1,0,0
2022,Dallas Cowboys,17,10,47,4.7,14,0,3,30.0,0,0,0
2021,Dallas Cowboys,16,9,76,8.4,33,0,4,44.4,1,0,0
2020,Dallas Cowboys,16,10,82,8.2,19,1,4,40.0,0,0,0
TOTAL,,81,57,388,6.8,33,3,21,36.8,2,0,0
