YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New York Jets,15,1,5,5,5,0,1,100.0,0,0,0
2023,New York Jets,17,4,0,0,6,0,1,25.0,0,0,0
2022,New York Jets,17,4,4,1,7,0,0,0.0,0,0,1
TOTAL,,49,9,9,1,7,0,2,22.2,0,0,1
