YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Arizona Cardinals,15,1.0,2.0,2.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0
2023,Arizona Cardinals,17,,,,,,,,,,
2022,Arizona Cardinals,16,,,,,,,,,,
TOTAL,,48,1.0,2.0,2.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0
