YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Minnesota Vikings,15,1,3,3.0,3,0,0,0.0,0,0,0
2023,Minnesota Vikings,10,1,-12,-12.0,-12,0,0,0.0,0,0,0
2022,Minnesota Vikings,17,4,24,6.0,10,1,2,50.0,0,0,0
2021,Minnesota Vikings,17,6,14,2.3,11,0,1,16.7,0,0,0
2020,Minnesota Vikings,16,1,2,2.0,2,0,0,0.0,0,0,0
TOTAL,,75,13,31,2.4,11,1,3,23.1,0,0,0
