YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Washington Commanders,15,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2023,Washington Commanders,17,,,,,,,,,,
2022,Washington Commanders,17,7.0,29.0,4.1,12.0,0.0,2.0,28.6,0.0,0.0,1.0
2021,Washington Commanders,17,1.0,12.0,12.0,12.0,0.0,1.0,100.0,0.0,0.0,0.0
2020,Washington Commanders,15,2.0,30.0,15.0,27.0,0.0,2.0,100.0,1.0,0.0,0.0
2019,Washington Commanders,14,,,,,,,,,,
TOTAL,,95,12.0,73.0,6.1,27.0,0.0,5.0,41.7,1.0,0.0,2.0
