YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Minnesota Vikings,13,3,20,6.7,9,1,1,33.3,0,0,0
2023,Minnesota Vikings,17,1,2,2.0,2,0,0,0.0,0,0,0
TOTAL,,30,4,22,5.5,9,1,1,25.0,0,0,0
