YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Pittsburgh Steelers,13,2,-6,-3.0,4,0,0,0.0,0,0,0
2023,Pittsburgh Steelers,17,3,18,6.0,16,0,2,66.7,0,0,0
2022,Pittsburgh Steelers,17,3,24,8.0,22,1,2,66.7,1,0,0
TOTAL,,47,8,36,4.5,22,1,4,50.0,1,0,0
