YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Las Vegas Raiders,13,2.0,23.0,11.5,20.0,0.0,1.0,50.0,1.0,0.0,0.0
2023,Las Vegas Raiders,16,4.0,24.0,6.0,17.0,2.0,3.0,75.0,0.0,0.0,0.0
2022,New England Patriots,14,2.0,-11.0,-5.5,7.0,0.0,2.0,100.0,0.0,0.0,1.0
2021,New England Patriots,17,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,New England Patriots,14,2.0,9.0,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,New England Patriots,15,,,,,,,,,,
TOTAL,,89,11.0,54.0,4.9,20.0,2.0,6.0,54.5,1.0,0.0,1.0
