YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Detroit Lions,13,9,63,7.0,15,0,4,44.4,0,0,0
2023,Detroit Lions,12,3,29,9.7,19,1,1,33.3,0,0,0
2022,Detroit Lions,6,1,40,40.0,40,0,1,100.0,1,1,0
TOTAL,,31,13,132,10.2,40,1,6,46.2,1,1,0
