YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Baltimore Ravens,16,8,47,5.9,19,0,1,12.5,0,0,0
2023,Baltimore Ravens,16,8,56,7.0,37,1,1,12.5,1,0,0
TOTAL,,32,16,103,6.4,37,1,2,12.5,1,0,0
