YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Atlanta Falcons,15,1.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Atlanta Falcons,16,,,,,,,,,,
2022,Atlanta Falcons,17,,,,,,,,,,
TOTAL,,48,1.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
