YEAR,TEAM,G,RET,YDS,AVG,LNG,TD,20+,40+,FC,FUM
2024,Los Angeles Chargers,15,3,28,9.3,12,0,0,0,8,0
TOTAL,,15,3,28,9.3,12,0,0,0,8,0
