YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Kansas City Chiefs,16,581,392,67.5,3928,6.8,54,26,11,214,36.8,40,36,239,93.5
2023,Kansas City Chiefs,16,597,401,67.2,4183,7.0,67,27,14,206,34.5,50,27,186,92.6
2022,Kansas City Chiefs,17,648,435,67.1,5250,8.1,67,41,12,272,42.0,73,26,188,105.2
2021,Kansas City Chiefs,17,658,436,66.3,4839,7.4,75,37,13,260,39.5,58,28,146,98.4
2020,Kansas City Chiefs,15,588,390,66.3,4740,8.1,75,38,6,238,40.5,67,22,147,108.2
2019,Kansas City Chiefs,14,484,319,65.9,4031,8.3,83,26,5,176,36.4,50,17,127,105.3
2018,Kansas City Chiefs,16,580,383,66.0,5097,8.8,89,50,12,237,40.9,75,26,171,113.8
2017,Kansas City Chiefs,1,35,22,62.9,284,8.1,51,0,1,14,40.0,2,2,15,76.4
TOTAL,,112,4171,2778,66.6,32352,7.8,89,245,74,1617,38.8,415,184,1219,102.1
