WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Bengals,W 44 - 38,29.0,38.0,414.0,10.9,3.0,1.0,2.0,4.0,126.4,3.0,3.0,1.0,0.0,,
14,Browns,W 27 - 14,15.0,26.0,158.0,6.1,2.0,0.0,1.0,11.0,101.1,6.0,17.0,2.8,0.0,,
15,@Eagles,L 13 - 27,14.0,22.0,128.0,5.8,1.0,0.0,2.0,21.0,94.5,4.0,13.0,3.2,0.0,1.0,1.0
16,@Ravens,L 17 - 34,22.0,33.0,217.0,6.6,2.0,1.0,3.0,19.0,92.6,3.0,27.0,9.0,0.0,1.0,1.0
17,Chiefs,L 10 - 29,23.0,37.0,205.0,5.5,0.0,1.0,5.0,43.0,65.7,6.0,55.0,9.2,1.0,1.0,0.0
1,@Falcons,W 18 - 10,,,,,,,,,,,,,,,
2,@Broncos,W 13 - 6,,,,,,,,,,,,,,,
3,Chargers,W 20 - 10,,,,,,,,,,,,,,,
4,@Colts,L 24 - 27,,,,,,,,,,,,,,,
5,Cowboys,L 17 - 20,,,,,,,,,,,,,,,
6,@Raiders,W 32 - 13,,,,,,,,,,,,,,,
7,Jets,W 37 - 15,16.0,29.0,264.0,9.1,2.0,0.0,1.0,4.0,109.0,3.0,3.0,1.0,1.0,,
8,Giants,W 26 - 18,20.0,28.0,278.0,9.9,1.0,0.0,4.0,19.0,114.9,3.0,7.0,2.3,0.0,1.0,1.0
10,@Commanders,W 28 - 27,14.0,28.0,195.0,7.0,3.0,1.0,3.0,23.0,93.6,4.0,3.0,0.8,0.0,,
11,Ravens,W 18 - 16,23.0,36.0,205.0,5.7,0.0,1.0,4.0,24.0,67.5,4.0,1.0,0.2,0.0,,
12,@Browns,L 19 - 24,21.0,28.0,270.0,9.6,1.0,0.0,4.0,22.0,116.7,3.0,10.0,3.3,0.0,1.0,1.0
