WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Cardinals,W 23 - 22,21,31,235,7.6,2,0,5,30,111.6,4.0,22.0,5.5,0.0,,
14,Falcons,W 42 - 21,22,28,347,12.4,5,0,4,29,157.9,4.0,7.0,1.8,0.0,,
15,Bears,W 30 - 12,24,40,231,5.8,1,1,2,16,74.1,,,,,,
16,@Seahawks,W 27 - 24,22,35,246,7.0,3,0,3,29,112.3,5.0,11.0,2.2,0.0,1.0,0.0
1,@Giants,W 28 - 6,19,24,208,8.7,2,1,1,7,113.2,3.0,3.0,1.0,0.0,,
2,49ers,W 23 - 17,17,26,268,10.3,2,1,3,10,109.1,5.0,32.0,6.4,0.0,2.0,0.0
3,Texans,W 34 - 7,17,28,181,6.5,4,0,4,25,119.2,,,,,1.0,0.0
4,@Packers,W 31 - 29,20,28,275,9.8,3,1,2,21,123.4,7.0,15.0,2.1,0.0,1.0,1.0
5,Jets,W 23 - 17,14,31,179,5.8,0,1,4,32,50.3,5.0,11.0,2.2,0.0,1.0,1.0
7,Lions,L 29 - 31,22,27,259,9.6,1,1,4,15,103.6,4.0,39.0,9.8,0.0,,
8,@Rams,L 20 - 30,18,25,240,9.6,2,0,3,28,128.8,3.0,6.0,2.0,0.0,,
9,Colts,W 21 - 13,28,34,290,8.5,3,2,4,30,107.1,4.0,14.0,3.5,0.0,1.0,1.0
10,@Jaguars,W 12 - 7,24,38,241,6.3,0,3,1,8,48.2,7.0,28.0,4.0,0.0,,
11,@Titans,W 23 - 13,20,32,246,7.7,2,0,2,10,107.0,8.0,18.0,2.2,1.0,1.0,1.0
12,@Bears,W 30 - 27,22,34,330,9.7,2,0,3,16,116.0,2.0,-1.0,-0.5,0.0,,
