WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Broncos,L 32 - 41,34.0,58.0,497.0,8.6,4.0,3.0,3.0,22.0,88.1,3.0,11.0,3.7,0.0,,
14,@Steelers,L 14 - 27,24.0,41.0,212.0,5.2,2.0,2.0,3.0,16.0,68.3,4.0,28.0,7.0,0.0,1.0,0.0
15,Chiefs,L 7 - 21,16.0,25.0,146.0,5.8,0.0,3.0,5.0,37.0,40.2,2.0,-2.0,-1.0,0.0,1.0,0.0
1,Cowboys,L 17 - 33,,,,,,,,,,,,,,,
2,@Jaguars,W 18 - 13,,,,,,,,,,2.0,4.0,2.0,0.0,,
3,Giants,L 15 - 21,,,,,,,,,,2.0,1.0,0.5,0.0,,
4,@Raiders,L 16 - 20,,,,,,,,,,,,,,,
5,@Commanders,L 13 - 34,1.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,118.8,1.0,-3.0,-3.0,0.0,,
6,@Eagles,L 16 - 20,,,,,,,,,,,,,,,
7,Bengals,L 14 - 21,5.0,11.0,67.0,6.1,1.0,0.0,1.0,2.0,95.6,,,,,,
8,Ravens,W 29 - 24,27.0,41.0,334.0,8.2,3.0,0.0,2.0,13.0,115.3,2.0,2.0,1.0,0.0,1.0,1.0
9,Chargers,L 10 - 27,26.0,46.0,235.0,5.1,1.0,3.0,6.0,22.0,50.5,5.0,27.0,5.4,0.0,1.0,0.0
11,@Saints,L 14 - 35,30.0,46.0,395.0,8.6,2.0,0.0,3.0,18.0,106.7,1.0,8.0,8.0,0.0,,
12,Steelers,W 24 - 19,18.0,27.0,219.0,8.1,0.0,1.0,1.0,0.0,76.0,3.0,7.0,2.3,1.0,1.0,1.0
16,@Bengals,L 6 - 24,,,,,,,,,,,,,,,
