Rank,Player Team (Bye),POS,AVG,Main_POS
120,Colston Loveland CHI (5),TE13,121.5,TE
121,Darnell Mooney ATL (5),WR50,122.0,WR
122,Jaydon Blue DAL (10),RB40,123.0,RB
123,Bhayshul Tuten JAC (8),RB41,125.5,RB
124,J.J. McCarthy MIN (6),QB20,126.0,QB
125,Tyjae Spears TEN (10),RB42,126.5,RB
126,Emeka Egbuka TB (9),WR51,127.5,WR
127,Tua Tagovailoa MIA (12),QB21,128.0,QB
128,Tank Bigsby JAC (8),RB43,128.0,RB
129,Rachaad White TB (9),RB44,128.5,RB
130,Dalton Kincaid BUF (7),TE14,130.5,TE
131,Luther Burden III CHI (5),WR52,133.5,WR
132,Keon Coleman BUF (7),WR53,134.0,WR
133,Jake Ferguson DAL (10),TE15,135.0,TE
134,Matthew Stafford LAR (8),QB22,135.5,QB
135,Michael Penix Jr. ATL (5),QB23,136.0,QB
136,Jayden Higgins HOU (6),WR54,136.5,WR
137,Trey Benson ARI (8),RB45,136.5,RB
138,Isaac Guerendo SF (14),RB46,139.0,RB
139,Bryce Young CAR (14),QB24,139.5,QB
140,Austin Ekeler WAS (12),RB47,140.5,RB
141,Tre Harris LAC (12),WR55,141.5,WR
142,Marvin Mims Jr. DEN (12),WR56,142.0,WR
143,Kyle Pitts ATL (5),TE16,142.5,TE
144,Marquise Brown KC (10),WR57,142.5,WR
145,J.K. Dobbins DEN (12),RB48,144.5,RB
146,Dallas Goedert PHI (9),TE17,144.5,TE
147,Christian Kirk HOU (6),WR58,145.0,WR
148,Pat Freiermuth PIT (5),TE18,145.0,TE
149,Geno Smith LV (8),QB25,145.5,QB
150,Ray Davis BUF (7),RB49,148.0,RB
151,Rashid Shaheed NO (11),WR59,149.0,WR
152,Jack Bech LV (8),WR60,151.5,WR
153,Rico Dowdle CAR (14),RB50,152.5,RB
154,Isaiah Likely BAL (7),TE19,153.5,TE
155,Sam Darnold SEA (8),QB26,154.5,QB
156,Cameron Ward TEN (10),QB27,154.5,QB
157,Jalen McMillan TB (9),WR61,159.0,WR
158,Braelon Allen NYJ (9),RB51,160.5,RB
159,Rashod Bateman BAL (7),WR62,161.5,WR
160,Tyler Allgeier ATL (5),RB52,161.5,RB
161,Zach Ertz WAS (12),TE20,162.5,TE
162,Jaylen Wright MIA (12),RB53,163.0,RB
163,Hunter Henry NE (14),TE21,164.0,TE
164,Cedric Tillman CLE (9),WR63,165.0,WR
165,Anthony Richardson Sr. IND (11),QB28,165.5,QB
166,Denver Broncos DST (12),DST1,166.5,DST
167,Cade Otton TB (9),TE22,169.5,TE
168,Kyle Williams NE (14),WR64,171.0,WR
169,Adam Thielen CAR (14),WR65,172.0,WR
170,Jerome Ford CLE (9),RB54,172.0,RB
171,Keenan Allen,WR66,172.5,WR
172,Brenton Strange JAC (8),TE23,172.5,TE
173,Dylan Sampson CLE (9),RB55,174.0,RB
174,Xavier Legette CAR (14),WR67,174.5,WR
175,Justice Hill BAL (7),RB56,177.0,RB
176,Nick Chubb HOU (6),RB57,179.5,RB
177,Mike Gesicki CIN (10),TE24,180.0,TE
178,Philadelphia Eagles DST (9),DST2,180.0,DST
179,Wan'Dale Robinson NYG (14),WR68,181.0,WR
180,Aaron Rodgers PIT (5),QB29,181.0,QB
181,DeAndre Hopkins BAL (7),WR69,183.0,WR
182,Kareem Hunt KC (10),RB58,183.0,RB
183,Russell Wilson NYG (14),QB30,185.5,QB
184,Romeo Doubs GB (5),WR70,187.0,WR
185,Devin Neal NO (11),RB59,191.5,RB
186,Roschon Johnson CHI (5),RB60,191.5,RB
187,Mason Taylor NYJ (9),TE25,192.0,TE
188,Houston Texans DST (6),DST3,193.0,DST
189,Buffalo Bills DST (7),DST4,193.0,DST
190,MarShawn Lloyd GB (5),RB61,193.5,RB
191,Quentin Johnston LAC (12),WR71,195.0,WR
192,Chig Okonkwo TEN (10),TE26,195.0,TE
193,Joshua Palmer BUF (7),WR72,196.0,WR
194,Pittsburgh Steelers DST (5),DST5,196.5,DST
195,Blake Corum LAR (8),RB62,197.5,RB
196,Ollie Gordon II MIA (12),RB63,200.0,RB
197,Amari Cooper,WR73,201.5,WR
198,Alec Pierce IND (11),WR74,201.5,WR
199,Baltimore Ravens DST (7),DST6,202.5,DST
200,Minnesota Vikings DST (6),DST7,204.0,DST
201,Dalton Schultz HOU (6),TE27,204.0,TE
202,Jarquez Hunter LAR (8),RB64,206.5,RB
203,DJ Giddens IND (11),RB65,209.5,RB
204,Tyler Shough NO (11),QB31,209.5,QB
205,Daniel Jones IND (11),QB32,210.5,QB
206,DeMario Douglas NE (14),WR75,217.0,WR
207,Kansas City Chiefs DST (10),DST8,219.5,DST
208,Darius Slayton NYG (14),WR76,221.5,WR
209,Jaylin Noel HOU (6),WR77,223.0,WR
210,Brashard Smith KC (10),RB66,223.5,RB
211,Jaxson Dart NYG (14),QB33,224.5,QB
212,Cole Kmet CHI (5),TE28,226.0,TE
213,Shedeur Sanders CLE (9),QB34,226.5,QB
214,Pat Bryant DEN (12),WR78,226.5,WR
215,Juwan Johnson NO (11),TE29,227.0,TE
216,Detroit Lions DST (8),DST9,228.0,DST
217,Will Shipley PHI (9),RB67,228.0,RB
218,Kirk Cousins ATL (5),QB35,228.0,QB
219,Kyle Monangai CHI (5),RB68,228.5,RB
220,Jalen Royals KC (10),WR79,230.5,WR
221,Elijah Mitchell KC (10),RB69,231.5,RB
222,Michael Wilson ARI (8),WR80,231.5,WR
223,Los Angeles Chargers DST (12),DST10,233.0,DST
224,Audric Estime DEN (12),RB70,234.0,RB
225,Brandon Aubrey DAL (10),K1,155.0,K
226,Oronde Gadsden II LAC (12),TE30,158.0,TE
227,Woody Marks HOU (6),RB71,237.0,RB
228,Los Angeles Rams DST (8),DST11,238.0,DST
229,Dallas Cowboys DST (10),DST12,238.0,DST
230,Jordan James SF (14),RB72,238.0,RB
231,Joe Flacco CLE (9),QB36,240.5,QB
