year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2026.0,17,cf94a8256dd31f9bb7bc00d59c12fec6,Isaac TeSlaa,DET,WR,17.0,59.900000000000006,75.9,3.52,4.5,239.0,6.0
2026.0,17,a8c07c9edb5621458c8ff13a6a1b5cd3,Dontayvion Wicks,GB,WR,14.0,45.8,75.8,3.27,5.4,332.0,2.0
2026.0,17,4382af0907a0953be91a645cc58ebd6b,Greg Dortch,DET,WR,12.0,46.099999999999994,75.1,3.84,6.3,206.0,3.0
2026.0,17,dcf074cc9361aaf44afbcb3544743ebd,Pat Bryant,DEN,WR,15.0,43.8,74.8,2.92,5.0,378.0,1.0
2026.0,17,5b5301482dd11225484f9da44da286d5,JuJu Smith-Schuster,FA,WR,17.0,40.5,73.5,2.38,4.3,345.0,1.0
2026.0,17,3da790b90ee4e366691e55c5906491ad,Tyler Lockett,LV,WR,17.0,41.099999999999994,73.1,2.42,4.3,291.0,1.0
2026.0,17,445e2827687c5aa9ca5c7139ff56bfea,John Metchie III,CAR,WR,16.0,38.900000000000006,71.9,2.43,4.5,274.0,2.0
2026.0,17,87c2bca44cc9186b841097284da91211,Van Jefferson,WAS,WR,16.0,41.0,70.0,2.56,4.4,350.0,1.0
2026.0,17,d5dd666cead91f3ea41edfb4617b716f,Matthew Golden,GB,WR,14.0,41.0,70.0,2.93,5.0,361.0,0.0
2026.0,17,a885b723cb92e83e5d6ee0e3bd50a7e0,Tre Harris,LAC,WR,17.0,39.400000000000006,69.4,2.32,4.1,324.0,1.0
2026.0,17,ad0350cba0babdcecbd17fefba892bcb,Jaylin Noel,HOU,WR,17.0,42.400000000000006,68.4,2.49,4.0,292.0,2.0
2026.0,17,b0956f017b90405fd6bb7bcfc197c949,DeAndre Hopkins,BAL,WR,17.0,45.0,67.0,2.65,3.9,330.0,2.0
2026.0,17,e079db9658fd972dd45d7fb48da4d53d,Kalif Raymond,CHI,WR,15.0,42.8,66.8,2.85,4.5,289.0,1.0
2026.0,17,05f1f6c1ea65dce7eb3a8a1aa62132f4,Devaughn Vele,NO,WR,13.0,41.3,66.3,3.18,5.1,293.0,2.0
