year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2021.0,65654ddccb0ccfbb907cd30eacd781c2,Ethan Wolf,FA,TE,1.0,0.7999999999999998,2.8,0.8,2.8,8.0,0.0
2021.0,aff57ab66e5298ca5c07a5cf7973f465,Kevin Rader,FA,TE,3.0,0.7999999999999998,2.8,0.27,0.9,8.0,0.0
2021.0,9cc95ef9aeb2077b8aed054d5ae68957,Johnny Mundt,PHI,TE,3.0,0.8999999999999999,1.9,0.3,0.6,9.0,0.0
2021.0,bf66dc2cf31248203ef5367641dfc38c,Brycen Hopkins,FA,TE,1.0,0.8999999999999999,1.9,0.9,1.9,9.0,0.0
2021.0,04d0aa348a9b3a18d9d570dde6e169d0,Hunter Long,JAC,TE,3.0,0.8,1.8,0.27,0.6,8.0,0.0
2021.0,623244a28875c7a9a911ac64a0ffb92b,Eric Tomlinson,FA,TE,7.0,0.7,1.7,0.1,0.2,7.0,0.0
2021.0,b3399b673cfbf5438c29484f12a2cecd,Nick Boyle,FA,TE,2.0,0.19999999999999996,1.2,0.1,0.6,2.0,0.0
2021.0,49d9e2d2fc1a0ec6116dd23724c6917b,Deon Yelder,FA,TE,2.0,0.0,1.0,0.0,0.5,0.0,0.0
2021.0,e6c88fc8597efa017d37d1f06c16501e,Darrell Daniels,FA,TE,10.0,0.0,1.0,0.0,0.1,0.0,0.0
2021.0,1a358da62d9d80796bef44a17cfd7f3e,Daniel Helm,FA,TE,3.0,-0.09999999999999998,0.9,-0.03,0.3,-1.0,0.0
2021.0,13dfe6fe812e91095549000eda25b8d5,J.P. Holtz,FA,TE,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,19265d2d82e4ada27ccbcdb57b23ebd4,Jared Pinkney,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,2b53fa09f9e22d2d8266e5e368abdf11,Farrod Green,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,491051aa9e20d2fefdf57a39c4aa3756,Feleipe Franks,CAR,TE,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,3c4ebcbb74b6562b4897874833e8388d,Rashod Berry,FA,TE,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,3e09277e156281dd526a1b26d900cd2c,Giovanni Ricci,FA,TE,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,7518f7caa5978b4498a64e5058addc5f,Ben Ellefson,FA,TE,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,5422760b4898601efd2bc7c321cd50fb,Miller Forristall,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,62c14aa568038241f9dc068e9473d1e9,Sammis Reyes,FA,TE,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,6a6e580464a8231307a4af4c7e5546e0,Jacob Harris,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,287e5c2c57091fc658ff2f86a8370d16,Briley Moore,FA,TE,2.0,0.0,0.0,0.0,0.0,0.0,0.0
