YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Carolina Panthers,15,43,171,4.0,20,1,10,23.3,1,0
2023,Carolina Panthers,17,39,233,6.0,25,0,9,23.1,1,0
2022,Carolina Panthers,15,14,171,12.2,45,0,6,42.9,2,1
2021,Carolina Panthers,17,25,174,7.0,33,1,8,32.0,1,0
TOTAL,,64,121,749,6.2,45,2,33,27.3,5,1
