YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Washington Commanders,15,128,737,5.8,46,6,46,35.9,6,1,3
TOTAL,,15,128,737,5.8,46,6,46,35.9,6,1,3
