YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Los Angeles Rams,16,34,182,5.4,26,2,6,17.6,1,0
2023,Los Angeles Rams,12,32,206,6.4,24,3,9,28.1,2,0
2022,Los Angeles Rams,10,9,76,8.4,15,0,5,55.6,0,0
TOTAL,,38,75,464,6.2,26,5,20,26.7,3,0
