YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Jacksonville Jaguars,14,6,51,8.5,28,0,1,16.7,1,0
2023,Jacksonville Jaguars,17,1,6,6.0,6,0,0,0.0,0,0
TOTAL,,31,7,57,8.1,28,0,1,14.3,1,0
