YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,San Francisco 49ers,12,11.0,91.0,8.3,24.0,0.0,6.0,54.6,1.0,0.0
2023,San Francisco 49ers,17,3.0,31.0,10.3,13.0,0.0,1.0,33.3,0.0,0.0
2022,San Francisco 49ers,16,,,,,,,,,
TOTAL,,45,14.0,122.0,8.7,24.0,0.0,7.0,50.0,1.0,0.0
