YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Indianapolis Colts,12,15,122,8.1,25,1,7,46.7,1,0
2023,Indianapolis Colts,10,19,153,8.0,40,1,5,26.3,2,1
2022,Indianapolis Colts,11,28,143,5.1,19,0,4,14.3,0,0
2021,Indianapolis Colts,17,40,360,9.0,76,2,12,30.0,5,1
2020,Indianapolis Colts,15,36,299,8.3,39,1,12,33.3,5,0
TOTAL,,65,138,1077,7.8,76,5,40,29.0,13,2
