YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Tampa Bay Buccaneers,15,41,320,7.8,32,0,13,31.7,2,0
TOTAL,,15,41,320,7.8,32,0,13,31.7,2,0
