YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Philadelphia Eagles,15,31,276,8.9,43,2,12,38.7,4,1
2023,New York Giants,14,41,280,6.8,46,4,16,39.0,4,1
2022,New York Giants,16,57,338,5.9,41,0,10,17.5,2,1
2021,New York Giants,13,41,263,6.4,54,2,13,31.7,1,1
2020,New York Giants,2,6,60,10.0,38,0,3,50.0,1,0
2019,New York Giants,13,52,438,8.4,65,2,14,26.9,6,2
2018,New York Giants,16,91,721,7.9,57,4,30,33.0,5,2
TOTAL,,89,319,2376,7.4,65,14,98,30.7,23,8
