YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,New Orleans Saints,14,68,543,8.0,57,2,18,26.5,7,1
2023,New Orleans Saints,13,75,466,6.2,25,1,23,30.7,3,0
2022,New Orleans Saints,15,57,490,8.6,54,2,17,29.8,3,1
2021,New Orleans Saints,13,47,439,9.3,31,5,20,42.6,4,0
2020,New Orleans Saints,15,83,756,9.1,52,5,35,42.2,9,2
2019,New Orleans Saints,14,81,533,6.6,41,1,28,34.6,2,1
2018,New Orleans Saints,15,81,709,8.8,42,4,31,38.3,7,1
2017,New Orleans Saints,16,81,826,10.2,40,5,38,46.9,11,1
TOTAL,,115,573,4762,8.3,57,25,210,36.6,46,7
