YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Detroit Lions,15,43,440,10.2,54,3,22,51.2,6,1
2023,Detroit Lions,15,52,316,6.1,24,1,20,38.5,2,0
TOTAL,,30,95,756,8.0,54,4,42,44.2,8,1
