YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Detroit Lions,14,36,341,9.5,40,0,16,44.4,2,1
2023,Detroit Lions,14,16,117,7.3,19,0,7,43.8,0,0
2022,Chicago Bears,16,34,316,9.3,32,1,10,29.4,5,0
2021,Chicago Bears,13,42,301,7.2,16,0,18,42.9,0,0
2020,Chicago Bears,15,54,438,8.1,28,2,25,46.3,2,0
2019,Chicago Bears,16,25,185,7.4,30,1,7,28.0,2,0
TOTAL,,88,207,1698,8.2,40,4,83,40.1,11,1
