YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Washington Commanders,12,17,144,8.5,32,0,4,23.5,1,0
2023,Washington Commanders,15,36,368,10.2,51,4,15,41.7,8,2
2022,Washington Commanders,12,9,60,6.7,18,1,3,33.3,0,0
TOTAL,,39,62,572,9.2,51,5,22,35.5,9,2
