YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Atlanta Falcons,15,11,71,6.4,13,0,2,18.2,0,0
2023,Atlanta Falcons,17,18,193,10.7,75,1,6,33.3,2,2
2022,Atlanta Falcons,16,16,139,8.7,26,1,8,50.0,4,0
TOTAL,,48,45,403,9.0,75,2,16,35.6,6,2
