YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,New England Patriots,15,33,168,5.1,16,1,8,24.2,0,0
2023,New England Patriots,12,38,238,6.3,34,0,8,21.0,2,0
2022,New England Patriots,17,69,421,6.1,40,1,13,18.8,3,1
2021,New England Patriots,12,14,123,8.8,41,0,3,21.4,2,1
TOTAL,,56,154,950,6.2,41,2,32,20.8,7,2
