YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,New York Jets,14,53,460,8.7,57,2,14,26.4,5,1
2023,New York Jets,17,76,591,7.8,50,4,28,36.8,7,1
2022,New York Jets,7,19,218,11.5,79,1,8,42.1,2,1
TOTAL,,38,148,1269,8.6,79,7,50,33.8,14,3
