YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Kansas City Chiefs,13,23,176,7.6,26,0,10,43.5,1,0
2023,Cleveland Browns,15,15,84,5.6,13,0,5,33.3,0,0
2022,Cleveland Browns,17,35,210,6.0,24,1,11,31.4,1,0
2021,Cleveland Browns,8,22,174,7.9,23,0,10,45.4,1,0
2020,Cleveland Browns,16,38,304,8.0,26,5,19,50.0,3,0
2019,Cleveland Browns,8,37,285,7.7,29,1,17,46.0,2,0
2018,Kansas City Chiefs,11,26,378,14.5,67,7,17,65.4,7,2
2017,Kansas City Chiefs,16,53,455,8.6,78,3,18,34.0,4,1
TOTAL,,104,249,2066,8.3,78,17,107,43.0,19,3
