YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Dallas Cowboys,14,36.0,233.0,6.5,22.0,3.0,12.0,33.3,1.0,0.0
2023,Dallas Cowboys,16,17.0,144.0,8.5,32.0,2.0,6.0,35.3,1.0,0.0
2022,Dallas Cowboys,5,,,,,,,,,
2020,Dallas Cowboys,15,,,,,,,,,
TOTAL,,50,53.0,377.0,7.1,32.0,5.0,18.0,34.0,2.0,0.0
