YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Green Bay Packers,15,35,340,9.7,49,1,15,42.9,5,1
2023,Las Vegas Raiders,13,37,296,8.0,21,0,15,40.5,1,0
2022,Las Vegas Raiders,17,53,400,7.6,43,0,16,30.2,2,1
2021,Las Vegas Raiders,15,54,348,6.4,29,0,14,25.9,2,0
2020,Las Vegas Raiders,15,33,238,7.2,29,0,9,27.3,1,0
2019,Las Vegas Raiders,13,20,166,8.3,28,0,8,40.0,2,0
TOTAL,,88,232,1788,7.7,49,1,77,33.2,13,2
