YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Houston Texans,13,35,304,8.7,37,1,12,34.3,4,0
2023,Cincinnati Bengals,17,52,376,7.2,45,3,14,26.9,4,1
2022,Cincinnati Bengals,14,60,441,7.4,35,2,17,28.3,4,0
2021,Cincinnati Bengals,16,42,314,7.5,52,3,11,26.2,3,3
2020,Cincinnati Bengals,6,21,138,6.6,19,1,5,23.8,0,0
2019,Cincinnati Bengals,16,35,287,8.2,33,3,14,40.0,4,0
2018,Cincinnati Bengals,14,43,296,6.9,21,1,14,32.6,2,0
2017,Cincinnati Bengals,14,30,287,9.6,67,0,9,30.0,3,1
TOTAL,,110,318,2443,7.7,67,14,96,30.2,24,5
