YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Seattle Seahawks,11,46,299,6.5,21,1,19,41.3,1,0
2023,Seattle Seahawks,15,29,259,8.9,64,1,9,31.0,3,1
2022,Seattle Seahawks,15,27,165,6.1,33,0,6,22.2,2,0
TOTAL,,41,102,723,7.1,64,2,34,33.3,6,1
