YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Tennessee Titans,15,41,238,5.8,30,0,9,22.0,2,0
2023,Dallas Cowboys,17,55,311,5.6,60,0,12,21.8,2,1
2022,Dallas Cowboys,16,39,371,9.5,68,3,18,46.2,3,2
2021,Dallas Cowboys,15,39,337,8.6,32,0,15,38.5,2,0
2020,Dallas Cowboys,16,28,193,6.9,30,1,9,32.1,1,0
2019,Dallas Cowboys,15,15,107,7.1,21,1,4,26.7,1,0
TOTAL,,94,217,1557,7.2,68,5,67,30.9,11,3
