YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Minnesota Vikings,15,42,348,8.3,25,2,15,35.7,4,0
2023,Green Bay Packers,11,30,233,7.8,51,1,13,43.3,2,1
2022,Green Bay Packers,17,59,395,6.7,30,5,19,32.2,5,0
2021,Green Bay Packers,15,52,391,7.5,26,6,22,42.3,4,0
2020,Green Bay Packers,14,47,355,7.6,30,2,15,31.9,4,0
2019,Green Bay Packers,16,49,474,9.7,67,3,18,36.7,6,2
2018,Green Bay Packers,12,26,206,7.9,24,1,12,46.2,2,0
2017,Green Bay Packers,12,9,22,2.4,9,0,2,22.2,0,0
TOTAL,,112,314,2424,7.7,67,20,116,36.9,27,3
