YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Cincinnati Bengals,16,54,360,6.7,34,4,23,42.6,2,0
2023,Cincinnati Bengals,12,14,156,11.1,54,1,4,28.6,2,1
TOTAL,,28,68,516,7.6,54,5,27,39.7,4,1
