YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Arizona Cardinals,16,47,414,8.8,44,1,17,36.2,4,1
2023,Arizona Cardinals,13,27,165,6.1,34,2,11,40.7,2,0
2022,Arizona Cardinals,13,46,300,6.5,22,1,13,28.3,2,0
2021,Arizona Cardinals,15,37,375,10.1,45,3,18,48.6,5,1
2020,Pittsburgh Steelers,13,35,215,6.1,18,0,10,28.6,0,0
2019,Pittsburgh Steelers,10,34,251,7.4,26,3,14,41.2,4,0
2018,Pittsburgh Steelers,13,55,497,9.0,29,1,20,36.4,5,0
2017,Pittsburgh Steelers,14,0,0,,0,0,0,,0,0
TOTAL,,107,281,2217,7.9,45,11,103,36.7,22,2
