YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Atlanta Falcons,15,56,420,7.5,29,1,20,35.7,3,0
2023,Atlanta Falcons,17,58,487,8.4,71,4,24,41.4,5,1
TOTAL,,32,114,907,8.0,71,5,44,38.6,8,1
