YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Tampa Bay Buccaneers,14,50,389,7.8,32,6,18,36.0,3,0
2023,Tampa Bay Buccaneers,17,64,549,8.6,43,3,23,35.9,10,1
2022,Tampa Bay Buccaneers,17,50,290,5.8,20,2,13,26.0,1,0
TOTAL,,48,164,1228,7.5,43,11,54,32.9,14,1
